s=energy([0.000 0.000])=26.000
342: energy([0.950 0.820])=11.190
343: energy([0.960 0.820])=11.108
344: energy([0.960 0.830])=11.061
345: energy([0.970 0.830])=10.980
350: energy([0.980 0.830])=10.899
353: energy([0.990 0.830])=10.818
355: energy([1.000 0.830])=10.738
358: energy([1.010 0.830])=10.658
365: energy([1.020 0.830])=10.579
366: energy([1.020 0.840])=10.532
368: energy([1.030 0.840])=10.453
369: energy([1.030 0.850])=10.407
370: energy([1.040 0.850])=10.328
371: energy([1.050 0.850])=10.250
372: energy([1.060 0.850])=10.172
374: energy([1.060 0.860])=10.126
375: energy([1.060 0.870])=10.081
377: energy([1.070 0.870])=10.004
378: energy([1.080 0.870])=9.927
380: energy([1.080 0.880])=9.882
381: energy([1.090 0.880])=9.805
382: energy([1.090 0.890])=9.760
383: energy([1.090 0.900])=9.716
384: energy([1.100 0.900])=9.640
387: energy([1.100 0.910])=9.596
393: energy([1.110 0.910])=9.520
394: energy([1.120 0.910])=9.445
395: energy([1.120 0.920])=9.402
396: energy([1.120 0.930])=9.359
397: energy([1.120 0.940])=9.316
399: energy([1.130 0.940])=9.241
403: energy([1.130 0.950])=9.199
404: energy([1.130 0.960])=9.157
405: energy([1.130 0.970])=9.116
407: energy([1.140 0.970])=9.041
408: energy([1.140 0.980])=9.000
410: energy([1.150 0.980])=8.926
413: energy([1.160 0.980])=8.852
414: energy([1.170 0.980])=8.779
415: energy([1.180 0.980])=8.706
416: energy([1.190 0.980])=8.633
418: energy([1.190 0.990])=8.592
419: energy([1.200 0.990])=8.520
421: energy([1.200 1.000])=8.480
423: energy([1.210 1.000])=8.408
425: energy([1.210 1.010])=8.368
426: energy([1.220 1.010])=8.297
429: energy([1.220 1.020])=8.258
435: energy([1.220 1.030])=8.219
437: energy([1.220 1.040])=8.180
443: energy([1.220 1.050])=8.142
444: energy([1.230 1.050])=8.071
447: energy([1.230 1.060])=8.033
450: energy([1.230 1.070])=7.996
451: energy([1.240 1.070])=7.925
455: energy([1.240 1.080])=7.888
457: energy([1.250 1.080])=7.818
459: energy([1.260 1.080])=7.748
460: energy([1.260 1.090])=7.711
461: energy([1.270 1.090])=7.642
463: energy([1.280 1.090])=7.573
466: energy([1.280 1.100])=7.537
468: energy([1.280 1.110])=7.501
470: energy([1.290 1.110])=7.432
474: energy([1.290 1.120])=7.397
476: energy([1.290 1.130])=7.362
478: energy([1.300 1.130])=7.294
480: energy([1.310 1.130])=7.226
482: energy([1.310 1.140])=7.191
483: energy([1.320 1.140])=7.124
484: energy([1.330 1.140])=7.057
486: energy([1.340 1.140])=6.990
487: energy([1.340 1.150])=6.956
493: energy([1.340 1.160])=6.922
494: energy([1.340 1.170])=6.889
495: energy([1.340 1.180])=6.856
496: energy([1.340 1.190])=6.823
497: energy([1.340 1.200])=6.791
498: energy([1.350 1.200])=6.725
499: energy([1.350 1.210])=6.693
501: energy([1.360 1.210])=6.627
504: energy([1.360 1.220])=6.596
505: energy([1.360 1.230])=6.565
506: energy([1.360 1.240])=6.534
507: energy([1.370 1.240])=6.469
508: energy([1.380 1.240])=6.404
509: energy([1.390 1.240])=6.339
513: energy([1.390 1.250])=6.309
514: energy([1.390 1.260])=6.279
516: energy([1.400 1.260])=6.215
518: energy([1.400 1.270])=6.186
522: energy([1.410 1.270])=6.122
525: energy([1.410 1.280])=6.093
529: energy([1.420 1.280])=6.030
533: energy([1.430 1.280])=5.967
534: energy([1.440 1.280])=5.904
536: energy([1.450 1.280])=5.842
539: energy([1.460 1.280])=5.780
540: energy([1.470 1.280])=5.719
541: energy([1.470 1.290])=5.690
542: energy([1.470 1.300])=5.662
544: energy([1.480 1.300])=5.601
545: energy([1.480 1.310])=5.573
546: energy([1.480 1.320])=5.546
547: energy([1.490 1.320])=5.485
548: energy([1.490 1.330])=5.458
549: energy([1.490 1.340])=5.431
550: energy([1.490 1.350])=5.405
551: energy([1.490 1.360])=5.379
552: energy([1.490 1.370])=5.354
554: energy([1.500 1.370])=5.294
555: energy([1.500 1.380])=5.269
556: energy([1.510 1.380])=5.209
557: energy([1.510 1.390])=5.184
558: energy([1.520 1.390])=5.125
559: energy([1.520 1.400])=5.101
561: energy([1.520 1.410])=5.077
563: energy([1.530 1.410])=5.018
564: energy([1.540 1.410])=4.959
565: energy([1.540 1.420])=4.936
566: energy([1.550 1.420])=4.878
568: energy([1.550 1.430])=4.855
569: energy([1.550 1.440])=4.832
570: energy([1.560 1.440])=4.774
571: energy([1.570 1.440])=4.717
575: energy([1.580 1.440])=4.660
578: energy([1.580 1.450])=4.638
580: energy([1.580 1.460])=4.616
581: energy([1.590 1.460])=4.559
583: energy([1.600 1.460])=4.503
584: energy([1.610 1.460])=4.447
588: energy([1.620 1.460])=4.392
589: energy([1.630 1.460])=4.337
591: energy([1.640 1.460])=4.282
596: energy([1.640 1.470])=4.261
599: energy([1.640 1.480])=4.240
600: energy([1.640 1.490])=4.219
601: energy([1.650 1.490])=4.165
605: energy([1.650 1.500])=4.145
608: energy([1.660 1.500])=4.091
610: energy([1.660 1.510])=4.071
611: energy([1.660 1.520])=4.052
612: energy([1.660 1.530])=4.033
617: energy([1.670 1.530])=3.980
618: energy([1.680 1.530])=3.927
623: energy([1.690 1.530])=3.874
627: energy([1.690 1.540])=3.855
629: energy([1.700 1.540])=3.803
631: energy([1.700 1.550])=3.785
635: energy([1.700 1.560])=3.767
638: energy([1.710 1.560])=3.715
639: energy([1.710 1.570])=3.698
642: energy([1.710 1.580])=3.681
643: energy([1.710 1.590])=3.664
644: energy([1.720 1.590])=3.613
645: energy([1.730 1.590])=3.562
646: energy([1.730 1.600])=3.546
649: energy([1.730 1.610])=3.530
650: energy([1.740 1.610])=3.479
651: energy([1.740 1.620])=3.464
652: energy([1.750 1.620])=3.414
654: energy([1.750 1.630])=3.399
655: energy([1.760 1.630])=3.349
656: energy([1.760 1.640])=3.334
658: energy([1.770 1.640])=3.285
660: energy([1.780 1.640])=3.236
661: energy([1.780 1.650])=3.222
664: energy([1.780 1.660])=3.208
665: energy([1.780 1.670])=3.195
667: energy([1.790 1.670])=3.146
668: energy([1.800 1.670])=3.098
670: energy([1.800 1.680])=3.085
671: energy([1.810 1.680])=3.037
672: energy([1.810 1.690])=3.024
674: energy([1.820 1.690])=2.977
675: energy([1.820 1.700])=2.965
678: energy([1.820 1.710])=2.953
680: energy([1.820 1.720])=2.942
681: energy([1.820 1.730])=2.931
685: energy([1.820 1.740])=2.920
688: energy([1.830 1.740])=2.873
689: energy([1.830 1.750])=2.863
690: energy([1.840 1.750])=2.816
691: energy([1.850 1.750])=2.770
693: energy([1.860 1.750])=2.724
694: energy([1.870 1.750])=2.679
696: energy([1.880 1.750])=2.634
697: energy([1.880 1.760])=2.624
700: energy([1.890 1.760])=2.579
701: energy([1.890 1.770])=2.570
702: energy([1.890 1.780])=2.561
703: energy([1.890 1.790])=2.552
705: energy([1.890 1.800])=2.544
706: energy([1.900 1.800])=2.500
707: energy([1.910 1.800])=2.456
712: energy([1.910 1.810])=2.448
713: energy([1.920 1.810])=2.405
716: energy([1.930 1.810])=2.362
717: energy([1.930 1.820])=2.355
718: energy([1.930 1.830])=2.348
720: energy([1.940 1.830])=2.305
721: energy([1.940 1.840])=2.298
723: energy([1.950 1.840])=2.256
726: energy([1.950 1.850])=2.250
729: energy([1.950 1.860])=2.244
730: energy([1.960 1.860])=2.202
737: energy([1.970 1.860])=2.161
739: energy([1.980 1.860])=2.120
749: energy([1.990 1.860])=2.079
750: energy([1.990 1.870])=2.074
752: energy([2.000 1.870])=2.034
754: energy([2.000 1.880])=2.029
755: energy([2.010 1.880])=1.989
756: energy([2.020 1.880])=1.950
760: energy([2.020 1.890])=1.945
763: energy([2.020 1.900])=1.941
764: energy([2.030 1.900])=1.902
766: energy([2.040 1.900])=1.863
767: energy([2.040 1.910])=1.859
769: energy([2.040 1.920])=1.856
772: energy([2.050 1.920])=1.818
775: energy([2.060 1.920])=1.780
776: energy([2.060 1.930])=1.777
780: energy([2.070 1.930])=1.740
781: energy([2.070 1.940])=1.737
782: energy([2.070 1.950])=1.735
784: energy([2.080 1.950])=1.698
786: energy([2.080 1.960])=1.696
789: energy([2.090 1.960])=1.659
793: energy([2.090 1.970])=1.658
794: energy([2.100 1.970])=1.622
796: energy([2.100 1.980])=1.621
797: energy([2.100 1.990])=1.620
799: energy([2.110 1.990])=1.584
801: energy([2.110 2.000])=1.584
805: energy([2.120 2.000])=1.549
809: energy([2.130 2.000])=1.514
812: energy([2.140 2.000])=1.479
813: energy([2.150 2.000])=1.445
816: energy([2.160 2.000])=1.411
