开放世汉词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［世界语］	［中文］
fi	可耻
fia	贱，下流，可耻的
fibro	纤维
fidi je	信任
fido	信仰，信赖
fiera	骄傲
fifama	臭名昭著，臭名远扬，恶名昭彰
figarbeto	印度橡树，印度榕，印度橡胶树，印度榕树
figarbo	无花果树
fiinsektoj	害虫
fikopii	抄袭
filiĉo	子
filikoplanto	羊齿
filmo	片，电影，片子
filo	子
filodendrono	蘗，喜林芋，黄蘗
filozofio	哲学
filozofo	哲学家
filtrilo	过滤器
finaĵo	词尾
fine	终于，最后
finfine	终于
fingra osto	指骨
fingringo	顶针
fingro	手指，指
fingroartiko	指关节
fingropremaĵo	手印，指纹
fini	结束
finiĝo	词尾
fipetola	不羁，肆无忌惮，无拘无束
fipetolemo	放肆，无拘无束
firakonto	下流的故事
fiŝo	鱼
fiŝvergo	钓杆，钓鱼杆
flamengo	红鹤
flankokupo	嗜好
flava	黄，黄色
flava kupro	黄铜
flava nano	黄矮星
flava stelo	黄星
flegisto	护士
fleksebla	弹性
fleksio	词形变化
fleo	梯牧草，猫尾草
floro	花朵，花
flua	流利
fluaĵo	流体
flughaveno	机场，飞机场
flugi	飞行
flugilo	翅，翼，翅膀
flugmaŝino	飞机
fluoro	氟
fluso	涨潮
fluto	长笛
Fobo	火卫一
foje	次
foko	海豹
folio	叶，叶子，树叶
fonemo	音位，音素
fonetiko	语音学，发音学
fono	背景
fonologio	音韵学
fonto	来源
forgesi	忘记，忘
foriri	离，离开
forĵetaĵo	废物
forĵeti	丢掉
forĵetindaĵo	废物
forkuri	逃脱
formala	正式
formiko	蚂蚁，蚁，蚂
formo	形状
formortinta	绝种
forno	炉灶，炉
forpreni	拿走
forsitifloro	连翘花，连翘
forsitio	连翘花，连翘
forta	强
forte	强烈
forto	力气
forumo	论坛
forviŝi	擦掉
fosforo	磷
fosmaŝino	挖土机
foti	拍照
fotilo	照相机
foto	照片
fotografi	拍照
fotosintezo	光合作用
fraksenarbo	灰树，梣树，白蜡树，梣
frakseno	白蜡树，灰树，梣树，梣
francio	钫
frapi	打
frapi sur la pordon	敲门
fraŭla	独身
frazelemento	句子成分
frazero	词组，片语
frazo	片语，短语，句子，词组
fremda	陌生
fremdulo	陌生人
freneza	疯狂
frenezulejo	疯人院
frenezulo	疯人，狂人，疯子
freŝa	新鲜
fridujo	冰箱，电冰箱
fromaĝo	奶酪
frostigi	冰冻
frostigilo	冷冻库
frostigita	冷冻
frotado	摩擦
froto	摩擦
frua	早
fruktarbo	果树
frukto	水果
fruktodona	肥沃
frunta lobo	额叶
frunto	额，额头
fuĝi	逃走
Fuĝjano	闽，福建
Fuĝoŭo	福州
fulmo	电，闪电
fulmotondro	雷电
fumi	吸，抽烟，抽，抽烟，吸烟
fumi cigaredon	抽烟
fumo	烟
fundo	基础
funelo	漏斗
funkcii	起作用
funkciigi	操作
funkcio	功能
furorlibro	畅销书
furzi	放屁
furzo	屁
fuŝi	搞砸，弄糟，搞坏
fusilo	步枪
fuŝita	糟糕的，坏了的
fuŝkontakto	短路
fuŝpalpi	摸索，弄乱，摸弄
futura tempo	将来时
fuzio	核聚变，核融合
gado	鳕鱼，鳕
gadolinio	钆
gaja	活泼
Gaja	盖娅
gajni monon	赚钱
gala veziko	胆囊，胆
galaksio	星系
Galaksio	银河系，银河
galiumo	镓
galveziko	胆，胆囊
gambo	腿
ĝangalo	丛林
Gansuo	甘，甘肃
ganto	手套
garantii	保证
ĝardeno	花园
gardisto	卫兵
gasigi	气化
gaso	瓦斯，气体
gastama	好客
gasti	做客
gasto	客人
gazeto	新闻报纸，报纸，报
gazono	草坪
geedziĝi	结婚
Ĝeĝjango	浙江，浙
gejo	同志
geko	壁虎
ĝemeloj	双胞胎
gemo	宝石
ĝena	麻烦，烦
ĝenaĵo	麻烦
generacio	一代，代
ĝenerala asembleo	大会
Ĝenerala Relativeco	广义相对论
ĝenerala sekretario	秘书长
Ĝenerala Sekretario de UN	联合国秘书长
Ĝengĝoŭo	郑州
Ĝenĝis Ĥano	成吉思汗
ĝeni	麻烦，打扰，烦
genitiva kazo	属格
genitivo	属格
geniulo	天才
geno	基因
ĝeno	麻烦
genro	性
ĝentila	客气，礼貌
genuo	膝盖
geografio	地理
gepardo	猎豹
gepatra lingvo	母语
geranifloro	老鹳草
geranio	老鹳草
germanio	锗
gerundo	动名词
gesto	手势
ĝi	它
ĝia	它的
ĝia propra	它自己的
giganta	巨大
giganta sekvojo	世界爷树，世界爷，巨杉，巨杉树
giganta stelo	巨星
giganto	巨人
gimnastiko	体操
ĝin	它
Ĝin-dinastio	金朝
Ĝingis-Ĥano	成吉思汗
ginkarbo	银杏树
ginko	银杏树
gipso	石膏
ĝirafo	长颈鹿
ĝis	拜拜
ĝis la revido	再见
ĝis nun	目前为止
gitaro	吉他
Ĝjangŝjio	赣，江西
Ĝjangsuo	江苏，苏
Ĝjilino	吉，吉林
Ĝjinano	济南
glacimonto	冰山
glacio	冰
gladilo	熨斗
glandoj	腺
glaso	杯子，杯，玻璃杯
glaso da akvo	一杯水
glata	润滑
glavingo	剑鞘
glavo	剑
glitveturilo	雪橇
globskribilo	圆珠笔
gluaĵo	胶水
glukozo	葡萄糖
glumarko	贴纸
glutea muskolo	大臀肌
gluteo	臀，臀部，屁股
gluti	吞
ĝoja	乐，高兴
ĝojo	乐
goo	围棋
gorĝa pomo	喉结
gorĝo	喉，喉咙，咙
Ĝoŭ-dinastio	周朝
gramatika esprimo	语法术语
gramatiko	文法，语法
granatarbo	石榴树
granda	大
Granda Eksplodo	大爆炸
granda orcino	虎鲸
granda pando	大猫熊，大熊猫
grandeco	大小
grandparte de	大部分的
grandvalora	贵重
grapfruktarbo	葡萄柚树
grasa	肥，胖
grasa histo	脂肪组织
grasdika	肥胖
grasega	肥胖
gratulon	恭喜
grava	重要，严重
graveco	重要性
gravega	非常重要
gravita kampo	重力场，引力场，万有引力场
gravito	重力，引力，重力相互作用，万有引力
greka parolo	希腊话
grilo	蟋蟀，蟋，蟀
griza	灰，灰色
grundo	土壤
gruo	鹤
grupeto	小组
grupigi	组
grupo	小组，团体
Gŭangdongo	粤，广东
Gŭangŝjio	桂，广西
ĝui	享，享受
Gujĝoŭo	黔，贵州
Gujjango	贵阳
gumarbo	印度榕树，印度榕，印度橡胶树，印度橡树
gumo	橡皮擦
ĝusta	对，正确
ĝustigi	调整
gusto	口味，味，味道
gustumi	尝，尝试
gvidi	指导
gvidisto	导游
Hadeso	哈迪斯
hafnio	铪
Hajkou	海口
hajlero	雹石，冰雹
hajlo	冰雹
Hajnano	琼，海南岛，海南
halti	停止
Han-dinastio	汉朝
hanĉino	汉人
Hangĝoŭo	杭州
hara foliklo	毛囊
hararo	头发，发
Harbino	哈尔滨
harfoliklo	毛囊
harmonia	和谐
harmonio	和谐
haro	头发，发，一根头发，毛
harplektaĵoj	辫，辫子
haŭto	皮肤
haŭto	肤，皮，皮肤
haŭtveziketo	水疱
haveno	海港
havi	有
havi bonŝancon	走运
havi nur	只有
hazarda	偶然
Hebejo	河北，冀
hebrea parolo	希伯来话
hedero	常春藤
Hefejo	合肥
Hefesto	赫斐斯托斯
hegemonio	霸权
heĝo	灌木
Hejlongĝjango	黑，黑龙江
hejme	在家
hejmo	家
hejmtasko	作业，功课
helena mitaro	希腊神话
helena mitologio	希腊神话
heliantfloro	向日葵，葵花，葵
helianto	向日葵，葵，葵花
heliko	蜗牛，蜗
heliumo	氦
helpanto	帮手，助理
helpi	帮忙
helpo	帮助
helpverbo	助动词
hemisfero	半球
hemoglobino	血红素，血红蛋白，血色素
Henano	河南，豫
hepato	肝脏，肝
Hera	赫拉，天后赫拉
Herakleo	海格力斯，赫拉克勒斯
herbo	青草，草，草本
heredaĵo	遗产
heredanto	继承人
heredi	继承
Hermeso	赫耳墨斯
heroo	英雄
Hestia	赫斯提亚
hibiskfloro	木槿，槿
hibisko	槿，木槿
hidrargo	汞，水银
hidrogeno	氢
hieraŭ	昨，昨天
higieno	卫生
hinduismo	印度教
hiperiko punktita	贯叶连翘
hipnoto	催眠术
hipofizo	脑垂腺
hipokampo	海马
hipokaŝtanarbo	七叶树，马栗树
hipokaŝtano	马栗树，七叶树
hipopotamo	河马
hirudo	蛭，蚂蟥，水蛭，蚂
hirundo	燕，燕子
hiskiamo	天仙子，莨菪
histo	组织
historio	史，历史
histriko	豪猪
hobio	嗜好
hodiaŭ	今，今天
hogo	火锅
holmio	钬
homa korpo	躯，人体，身躯
homamaso	人群
homaro	人类
homo	人，人类
homportilo	担架床
honesta	诚实
Honkongo	香港，港
Honkongo Speciala Administra Regiono	香港特别行政区
honta	惭愧
horaro	时间表，行程
hordeo	大麦
horizonto	地平线
horloĝeto	手表
horloĝo	时钟，钟
hormona malekvilibro	荷尔蒙失衡
hormono	荷尔蒙
ĥoro	唱诗班，合唱团
horo	时，小时，钟头
hortensifloro	绣球花，洋绣球花，紫阳花，八仙花
hortensio	紫阳花，绣球花，八仙花，洋绣球花
hotelo	饭店
Hubejo	鄂，湖北
hufferi	钉蹄铁
huffero	马蹄铁
hufo	蹄
Huhehaŭteo	呼和浩特
humida	潮湿
humoro	脾气，心情
humura	幽默
humuro	幽默感
Hunano	湖南，湘
hundo	狗
iafoje	有时候
iam	曾经
ida	小
idaro	子，子孙，后代
ideala	理想
identa	相同
ideo	主意
ideografiaĵo	字
idiotisma esprimo	习惯用语
idiotismo	习惯用语，成语，习惯语
ido	子，孩子
idolo	偶像
ie ajn	哪里都
igi	使，导致，令
iĝi	成，变，成为，变成
ignori	忽视
Ikaro	伊卡洛斯
ila kazo	工具格
ili	她们，他们，它们
ili mem	他们自己
ilia	她们的，他们的，它们的
ilia propra	它们自己的，她们自己的，他们自己的
ilin	他们，它们，她们
ilo	工具
iluziisto	魔术师
iluzio	幻觉
imagi	想象
imago	想象力
imamo	阿訇，訇
imiti	模仿
imperativa formo	命令式
imperativa frazo	命令语句
imperativa modo	祈使语气，命令语气
imperativo	祈使
imperiestro	帝，皇帝，皇
imperio	帝国
impona	给人深刻印象的，令人难忘的，令人印象深刻的
imposto	税
impreso	印象
impulsiĝema	冲动
imuna sistemo	免疫系统
ina	阴性，母，女性，雌
ina fenikso	凰
ina genro	阴性
ina substantivo	阴性名词
ina vorto	阴性词
incizivo	门齿
indekso	索引
indikativo	陈述式
indikativo modo	直述语气，陈述语气，直说法
indio	铟
indo	价值
Indonezio	印尼，印度尼西亚
industrio	工业
infaneto	婴儿，小孩
infano	孩子
infekta	传染
infekti	感染
infero	地狱
infinitiva modo	不定式语气
infinitiva verbo	动词不定式
infinitivo	不定式
informaĵo	资料
informi	报导
informo	资料
inĝeniero	工程师
ingredienco	成分
injekto	注射
inkluzive	包括，包括
inkluzive de	包括，包括
inko	墨水
inkŝpruca presilo	喷墨打印机
ino	女人
inseksa	雌性，雌，女性
insekto	虫，虫子，昆虫
insisti	坚持
inspiraĵo	灵感
inspiro	灵感
instiga kaŭzo	动机
instinkto	本性
instruado	教育
instrui	教书，教
instruisto	老师，师
instrumentala kazo	工具格
instrumentalo	工具格
instrumento	仪器
insulo	岛屿
insulti	侮辱
insulto	侮辱
intence	故意
intence aŭ senintence	有意无意
inter	之间
interbatiĝi	打架
interesa	有意思，有趣
interesega	很有意思
intereso	兴趣
interjekcio	感叹词
intermeti	干涉
intermeto	干扰
Interna Mongolio	内蒙古，蒙
internacia	国际
Internacia Atom-Energia Agentejo	国际原子能机构
Internacia Banko por Rekonstruado kaj Disvolvado	国际复兴开发银行
internacia juro	国际法
Internacia Krima Kortumo	国际刑事法庭
internacia leĝo	国际法
Internacia Mona Fonduso	国际货币基金组织，国际货币基金
Internacia Movado de la Ruĝa Kruco kaj Ruĝa Krescento	国际红十字与红新月运动
internacia organizaĵo	国际组织
Internacia Organizo por Normigado	国际标准化组织
interne	里面
interogativo	疑问代词
interparolado	对话
interpunkcia signo	标点符号
interpunkcii	标点
interpunkcio	标点法
interreto	互联网
interŝanĝi	交换
intesto	肠，大肠
intima	亲
intuicio	直觉
investi	投资
inviti	邀请
io ajn	什么都
iom da	一点儿，一点
iom da akvo	一点水，一点儿水
iom da mono	一点钱，一点儿钱
iomete	一点点
ipomefloro	喇叭花，牵牛花
ipomeo	喇叭花，牵牛花
iri	去
iridfloro	鸢尾花
iridio	铱
irido	鸢尾花
iriso	虹膜
Islama	回
islamano	清真教徒
islamo	伊斯兰教，回教，清真教
iterbio	镱
itrio	钇
iu ajn	谁都，任何
iu tago	一天，有一天
iufoje	有时候
iuj	一些，些
izola	孤立
izolilo	绝缘体
izotopo	同位素
ja	确，的确，确实
jaguaro	美洲豹
Jalta Konferenco	雅尔塔会议
ĵaluza	妒嫉
jam	已经，已
jam ne	不再
jam ne...	不再…了
januaro	一月
japana	和
japana parolo	日本话
Japanio	日本
jarcento	世纪
Jarcento de la Lumoj	启蒙时代
jarlibro	年鉴，年刊
jaro	年
jasmenfloro	茉莉花，莉，茉，茉莉
jasmeno	茉莉花，莉，茉莉，茉
ĵaŭdo	星期四，周四，四，礼拜四
Jazono	伊阿宋
jenaj	下列
jes	是的
ĵeti pilkon	扔球
jido	意第绪语
Jinĉŭan	银川
jodo	碘
Johana herbo	贯叶连翘
ju pli granda, des pli bona	越大越好
ju pli malgranda, des pli bona	越小越好
ju pli malmultaj, des pli bona	越少越好
ju pli multaj, des pli bona	越多越好
ju pli... des pli...	越…越…
Jŭan-dinastio	元朝
judismo	犹太教
juĝejo	法庭
juĝisto	法官
juglandarbo	核桃树，胡桃树
jugulara vejno	颈静脉
julio	七月
juna	年轻
Junano	滇，云南
junio	六月
juniperarbo	桧树，桧木，杜松树，桧，刺柏，桧木树，刺柏树，杜松
junipero	杜松树，刺柏，桧树，桧，桧木树，桧木，刺柏树，杜松
junko	灯心草
Junona	朱诺
junulo	青年
Jupitero	朱庇特，木星
jupo	裙子
ĵurio	陪审团
ĵuristo	陪审员
ĵurnalisto	新闻记者，记者
ĵurnalo	报纸
juro	法
ĵus	刚刚，刚，刚才
justa	公平
justeco	正义
kablo	钢索
kadmio	镉
kadro	框架，结构，框
kafejo	咖啡厅，咖啡馆
kafeterio	食堂
kafo	咖啡
kaĝo	笼子
Kaira Deklaracio	开罗宣言
kaj	且，与，同，而，而且，以及，和，及
kakto	仙人掌
kalafloro	马蹄莲花，白海芋，水芋花，海芋，荷兰海芋，海芋花，水芋，马蹄莲，白海芋花
kalao	水芋花，水芋，海芋，白海芋，马蹄莲花，荷兰海芋，白海芋花，马蹄莲，海芋花
kalcio	钙
kalemburo	双关语
kalendaro	历，日历
kalendulfloro	万寿菊花，万寿菊，金盏花
kalendulo	万寿菊，金盏花，万寿菊花
kalifo	回教主
kalifornio	锎
kalio	钾
kalkano	脚跟
kalkulilo	计算机
kalo	鸡眼
kalsono	内裤
kamarado	同志
kameleono	变色龙
kamelifloro	茶花，山茶花
kamelio	山茶花，茶花
kamelo	骆驼，驼
kameno	壁炉
kamentubo	烟囱
kamforarbo	樟树，樟
kamioneto	货车
kamiono	卡车
kamomilfloro	甘菊花
kamomilo	甘菊花
kamparano	农民
kampodometo	别墅
kampulo	农人
kanabo	麻，大麻
kanalo	频道，电台
kandelingo	烛台
kandelo	蜡烛
kanino	犬齿
kano	芦苇，芦，苇
kanti	唱歌
kantisto	歌手
kanto	谣，歌曲
Kantono	广州
kantstilo	腔
kapableco	能力
kapablo	能力
kapacitanco	电容
kapacito	容量
kapdoloro	头痛
kaphararo	头发
kaphaŭteroj	头皮屑
kapitulaci	投降
kapjesi	点头
kapkuseno	枕头
kapnei	摇头
kapo	首，头部，头
kapro	山羊
kaptilo	陷阱
kaptuko	头巾
kapturna	头晕
kapturniga	令人晕眩，令人头晕
karaktero	性
karbono	碳
kardiovaskula sistemo	心血管系统
kardo	蓟
kariero	事业，生涯
kariofilo	丁香
karobarbo	稻子豆
karotida arterio	颈动脉
karpaj ostoj	腕骨
karpo	鲤，鲤鱼
kartilago	软骨
karto	地图，卡片，片
kartono	硬纸板
karulino	女朋友
karulo	男朋友
kaŝita	隐
kasko	头盔
kaŝludo	捉迷藏
kaŝtanarbo	栗子树，栗树
kastelo	城堡
kastoro	海狸
kata mento	猫薄荷
katastrofo	浩劫
katido	小猫
katino	母猫
kato	猫
katolikismo	天主教
kaŭĉukarbo	橡胶树
kaŭĉuko	橡胶
kaŭri	蹲下
kaŭzi	导致
kaŭzo	原因，理由
kava	中空
kavetoj	酒窝
kavo	洞穴，窟，窿，洞，窟窿，腔，穴
kazino	赌场
kazo	格
KE	公元，西元
kelka	几
kelkaj	几个
kelkfoje	几次
kelkoble	几倍
kelo	地下室，地窖
kemia elemento	化学元素
kemia simbolo	化学符号
kemio	化学
kernofendado	核分裂
kernofrukto	核果
kesto	箱
kia	什么样，哪种
kia speco	哪种，哪一种
kial ne	为什么不
kial?	为什么
kialo	理由
kiam	时，的时候
kiam?	什么时候
kie	哪里
kiel	怎么
kies	谁的
kinejo	电影院
kineta energio	动能
kio	哪个
kio?	什么
kiom	多少
kiom aĝa	几岁
kiom da	多少
kiom multa	多少
kioma horo estas?	几点钟？，几点？
kirurgo	外科医生
kisi	接吻，亲嘴，吻，亲，亲亲
kiu speco de	哪种
kiu?	谁
klara	清，清楚
klare	明明
klarigi	解释
klarigo	说明
klasĉambro	教室
klavaro	键盘
klaviklo	锁骨
klavo	键
klematidfloro	铁线莲花，铁线莲
klematido	铁线莲花，铁线莲
kliento	客户，顾客
klimato	气候
kloro	氯
klorofilo	叶绿素
kloroplasto	叶绿体
kloŝfloro	风铃草，风铃草花
knabino	女孩子
knabo	男孩子
koalo	无尾熊
kobalto	钴
kobro	眼镜蛇
kodo	密码
kodumulo	黑客
kojlo	结肠
kojnodento	犬齿
kokaĵo	鸡肉
kokcigo	尾骨
kokcinelo	瓢虫
koketi	调情
kokido	小鸡
kokino	母鸡
koko	鸡
kokosarbo	椰，椰子树
kokso	髋骨，髋
kolĉeno	项链
kolegio	学院
kolera	生气
koleregigi	气死
kolerigi	惹生气
kolero	气
kolhararo	鬃，马鬃，鬃毛
kolhararo de ĉevalo	马鬃
kolo	脖，项，脖子，颈，颈项
kolombio = niobo	钶
kolombo	白鸽
kolonio	殖民地
koloro	颜色
koltuko	围巾
kombilo	梳子
komedio	喜剧
komenci	开始
komerci	做生意
komerco	商业
kometo	彗星，扫帚星
komforta	舒服
komitato	委员会
kompanio	公司
komparacia grado	比较级
komparativa adjektivo	比较级形容词
komparativo	比较级
kompaso	指南针
kompati	同情
kompatinda	可怜
komplemento	补语
kompleza	亲切
komplezema	亲切
komplika	复杂
komplimento	恭维
kompoŝti	堆肥
kompoŝto	堆肥
komprenaĵo	概念
kompreneble	当然
kompreneco	理解力
kompreni	了解，懂，了，理解，会，明白
komputilo	电脑
komuniki	沟通
komuniko	沟通
komunismo	共产主义
komunumo	社区
Komunumo de Nacioj	英联邦
koncedi	承认
koncepto	概念，观念
koncerto	演唱会
kondiĉa frazo	条件句
kondiĉa modo	条件语气
kondiĉa propozicio	条件从句
kondicionalo	条件语
kondiĉo	条件
kondukanto	导体
konduki	领导
konduktilo	导体
konduto	行为
konfesi	承认
konflikto	冲突
konfuzita	迷惑
koni	识，认，认识
konio makula	毒胡萝卜，毒堇
konjunkcio	连词
konkurado	竞争
konkuri	竞争
konkurso	比赛
konscienco	良心
konscio	知觉，意识
konsenti	同意
konservema	保守
konsileto	提示，暗示
konsili	劝说，劝，相劝，劝告
konsilo	忠告
konsistigaĵo	成分
konsoli	安慰
konsonanta litero	辅音字母
konsonanto	辅音，子音
konstruaĵo	建筑物
konstrui	建设
konsumanto	消费者
kontakti	联系到，联络上
kontakto	联络，联系
kontanto	现金
kontenta	满意
kontentigi	满足
kontinento	大陆
konto	账户
kontrakto	合约
kontraŭ	对面，对着
kontraŭdira	自相矛盾
kontraŭdiro	矛盾
kontraŭe	对面
kontraŭi	反对
kontraŭstarema	顽固，固执
kontraŭstari	抵抗
kontraŭulo	对手
kontribui	贡献
kontroli	查看
konvena	合适
Konvencioj de Ĝenevo	日内瓦公约
konvinki	说服
kopii mane	抄写
kopirajto	版权
kopulo	系词
kora valvo	心瓣
korbato	心搏
korbeto	小篮子
korbo	篮子
korbopilko	篮球
kordo	绳子
kordoloro	心痛
korea skribo	韩文
Koreio	韩国
korekti	纠正
korelativa vorto	关联词
koridoro	走廊
korkokverkarbo	栓皮栎，软木橡树
korkokverko	栓皮栎，软木橡树
kornea	眼角膜
korniko	乌鸦，乌，鸦
kornusarbo	红瑞木，山茱萸树，山茱萸
kornuso	红瑞木，山茱萸，山茱萸树
koro	心脏，心
koronaria arterio	冠状动脉
korpa kavo	腔
korpharo	毛
korplingvo	肢体语言
korpo	身，身体
korpremita	忧郁
kortumo	法院，法庭
kosma spaco	太空
koŝmaro	魇，噩梦，恶梦，梦魇
koto	泥巴
kotonarbo	棉花，棉
kotono	棉花，棉布，棉
koverto	信封
kovrilo	盖子
krabo	蟹，螃蟹，螃
kraĉaĵo	痰
krajono	钱币
krajonpintigilo	削铅笔器
kranio	颅，头颅
kratagarbo	山楂，山查，查，楂
kratago	查，楂，山查，山楂
kravato	领带
kredi	信，相信
kreditkarto	信用卡
kredito	信用
kreema	创意
krei	创造
kremo	奶油
kreskado	成长
kriegi	尖叫
krimulo	犯人
kripla	残废
kriptono	氪
Kristandemokratoj	基督教民主党
kristano	基督教徒
kritiki	批评
krizantemfloro	菊花，菊
krizantemo	菊花，菊
krizo	危机
kroĉilo	钩子
krokodilo	鳄鱼，鳄
krom	除了…外，除了…以外，除，除了…之外，除外，除…外
krom se	除非
krome	再加上，而且，另
kromnomo	绰号
kromo	铬
Krono	克洛诺斯
krono	冕，冠冕
krucmilitistoj	十字军
krucmilitoj	十字军东征
kruela	残忍
kruro	小腿，胫
kruta	陡峭
ksenono	氙
ksifio	旗鱼
Kublaj Ĥano	忽必烈
kubuto	肘，手肘
kudrado	针线，针线活
kudraĵo	针线，针线活
kudrero	一针
kudri	缝纫，缝合
kudrilarkorbo	针线筐
kudrilarujo	针线盒
kudrilo	针
kudrilo kaj fadeno	针线
kudristino	女裁缝，针线工，做针线工的
kudrofadeno	缝纫线
kudromaŝino	缝衣机，缝纫机
kuglo	子弹
kuirejo	厨，厨房，出访
kuirforno	炉灶
kuiristo	厨师
kuko	蛋糕
kukolo	鹃，杜鹃
kulero	汤匙
kulo	蠓虫，小虫
kulpa	有罪
kulpigi	指控，怪，责怪
kulpigito	被告
kulpiko	小虫叮的包
kulturejo	农园
kulturkampo	农地
kulturo	文化
kun	跟
kundividi	分享
kune	一起
kuniga histo	结缔组织
kuniklo	兔，兔子
kunlabori	合作
kunmetita vorto	复词，复合词
Kunmingo	昆明
kuntiriĝi	收缩
kunvenigi	带来，使一道来
kunveno	会议
kupro	铜
kuracisto	医生
kuraĝa	勇敢
kuraĝi	胆敢
kuraĝigi	鼓励
kuraĝo	勇气
kuriero	象
kuriumo	锔
kurta cirkvito	短路
kurteno	窗廉
kuŝiĝi	躺下
kutima	平常
kutime	习惯了，通常，惯
kutimi	习惯，惯于
kutimo	风俗，习惯
kvadrata	正方形
kvadricepso	股四头肌，四头肌
kvalifiko	资格
kvalito	质，品质，质量
kvankam	虽然
kvar	四
kvar mil	四千
kvar miliardo	四十亿
kvar miliono	四百万
kvar minutoj	四分钟
kvara	第四
kvarcent	四百
kvarcent mil	四十万
kvarcent miliono	四亿
kvardek	四十
kvardek du	四十二
kvardek kvar	四十四
kvardek kvin	四十五
kvardek kvin minutoj	四十五分钟
kvardek mil	四万
kvardek miliono	四千万
kvardek minutoj	四十分钟
kvardek naŭ	四十九
kvardek ok	四十八
kvardek sep	四十七
kvardek ses	四十六
kvardek tri	四十三
kvardek unu	四十一
kvardeka	第四十
kvarfoje	四次
kvarkapa muskolo	四头肌，股四头肌
kvaroble	四倍
kvaronhoro	一刻
kvarono	四分之一
kvarsigna ĉina esprimo	成语
kvarsigna idiotismo	成语
kvazaŭ	就像，就如
kverkarbo	栎，橡，橡树
kverko	橡树，栎，橡
kvieta	安静
kvin	五
kvin mil	五千
kvin miliardo	五十亿
kvin miliono	五百万
kvin minutoj	五分钟
kvina	第五
kvincent	五百
kvincent mil	五十万
kvincent miliono	五亿
kvindek	五十
kvindek du	五十二
kvindek kvar	五十四
kvindek kvin	五十五
kvindek mil	五万
kvindek miliono	五千万
kvindek naŭ	五十九
kvindek ok	五十八
kvindek sep	五十七
kvindek ses	五十六
kvindek tri	五十三
kvindek unu	五十一
kvindeka	第五十
kvinfoje	五次
kvinoble	五倍
kvinono	五分之一
la afrikansa	南非语
la afrikansa lingvo	南非语
la Aksaj Potencoj	轴心国
la albana	阿尔巴尼亚语
la albana lingvo	阿尔巴尼亚语
la Aliancanoj	同盟国
la angla	英语，英文
la angla lingvo	英文，英语
la araba	阿拉伯语，阿拉伯文，阿拉伯话
la araba lingvo	阿拉伯语，阿拉伯话，阿拉伯文
la aŭtuna ekvinokso	秋分
la bengala	孟加拉语
la bengala lingvo	孟加拉语
la birma	缅甸语
la birma lingvo	缅甸语
la Blanka Domo	白宫
la bulgara	保加利亚语
la bulgara lingvo	保加利亚语
la ĉeftero de Ĉinio	大陆，中国大陆
la ĉeĥa	捷克语
la ĉeĥa lingvo	捷克语
la Ĉiela Altaro	天坛
la Ĉin-dinastio	秦
la ĉina	中文，中国话，汉语
la ĉina lingvo	华语，汉语，中文，中国话
la ĉina parolo	中国话
la Ĉina Popola Respubliko	中国人民共和国
la Ĉina revolucio de 1911	辛亥革命
la ĉina urbo Ĉongĉingo	重庆
la ĉina urbo Tjanĝino	天津
la Ĉing-dinastio	清
la ĉinula lingvo	华语
la dana	丹麦语
la dana lingvo	丹麦语
la dek dua de aprilo	四月十二日，四月十二号
la dek dua de aŭgusto	八月十二号，八月十二日
la dek dua de decembro	十二月十二号，十二月十二日
la dek dua de februaro	二月十二号，二月十二日
la dek dua de januaro	一月十二日，一月十二号
la dek dua de julio	七月十二日，七月十二号
la dek dua de junio	六月十二日，六月十二号
la dek dua de majo	五月十二号，五月十二日
la dek dua de marto	三月十二号，三月十二日
la dek dua de novembro	十一月十二号，十一月十二日
la dek dua de oktobro	十月十二号，十月十二日
la dek dua de septembro	九月十二号，九月十二日
la dek kvara de aprilo	四月十四日，四月十四号
la dek kvara de aŭgusto	八月十四日，八月十四号
la dek kvara de decembro	十二月十四号，十二月十四日
la dek kvara de februaro	二月十四号，二月十四日
la dek kvara de januaro	一月十四日，一月十四号
la dek kvara de julio	七月十四日，七月十四号
la dek kvara de junio	六月十四号，六月十四日
la dek kvara de majo	五月十四日，五月十四号
la dek kvara de marto	三月十四号，三月十四日
la dek kvara de novembro	十一月十四号，十一月十四日
la dek kvara de oktobro	十月十四日，十月十四号
la dek kvara de septembro	九月十四日，九月十四号
la dek kvina de aprilo	四月十五号，四月十五日
la dek kvina de aŭgusto	八月十五日，八月十五号
la dek kvina de decembro	十二月十五日，十二月十五号
la dek kvina de februaro	二月十五号，二月十五日
la dek kvina de januaro	一月十五日，一月十五号
la dek kvina de julio	七月十五日，七月十五号
la dek kvina de junio	六月十五日，六月十五号
la dek kvina de majo	五月十五日，五月十五号
la dek kvina de marto	三月十五日，三月十五号
la dek kvina de novembro	十一月十五号，十一月十五日
la dek kvina de oktobro	十月十五日，十月十五号
la dek kvina de septembro	九月十五号，九月十五日
la dek naŭa de aprilo	四月十九日，四月十九号
la dek naŭa de aŭgusto	八月十九日，八月十九号
la dek naŭa de decembro	十二月十九号，十二月十九日
la dek naŭa de februaro	二月十九日，二月十九号
la dek naŭa de januaro	一月十九日，一月十九号
la dek naŭa de julio	七月十九号，七月十九日
