开放世汉词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［世界语］	［中文］
artemizio	艾草，艾
arterio	动脉
artiko	关节
artikolo	文，冠词，文章
artisto	艺术家
arto	艺术
asekuro	保险
aserti	主张
asfalto	柏油
asfodelfloro	日光兰，阿福花，日光兰花
asfodelo	日光兰，阿福花，日光兰花
asklepiado	马利筋
Asocio de Sudorient-Aziaj Nacioj	东南亚国家联盟，东盟
aspekti	看起来
aspekti simile	看起来很像
aspekto	外表
astato	砹，砈
asterfloro	紫苑花，紫苑
astero	紫苑，紫苑花
asteroido	小行星
astro	星体，天体
astronaŭto	太空人
Atena	雅典娜
atendejo	等候室
atendi	等，等待
atenton	小心
atestanto	目击者
atmosfera premo	气压
atoma nukleo	原子核
atomkerna centralo	核电厂，核能发电厂，核电站
atomkerna fisio	核分裂
atomkerno	原子核
atommaso	原子量
atomnumero	原子序数
atomo	原子
aŭ	或者，或
aŭdaci	胆敢
aŭdi	听见，听到
aŭgusto	八月
aŭriklo	心房
aŭskulti	听
aŭskultilo	听筒
aŭto	车子，车，车辆，汽车
aŭtobiografio	自传
aŭtobus	公共汽车，巴，巴士
aŭtobuso	公车
aŭtolitotrajno	卧车
aŭtolitvagonaro	卧车
aŭtomata	自动
aŭtomobilo	车子
aŭtonoma nerva sistemo	自主神经系统
aŭtonoma regiono	自治区
aŭtoro	作者
aŭtuno	秋，秋天
avantaĝo	好处
avara	吝啬
avelarbo	榛，榛树
aveno	燕麦
aventuristo	冒险家
aventuro	冒险
averaĝa	平均
averti	警告
averto	警告
avida	贪心
azalefloro	杜鹃花
azaleo	杜鹃花
azeno	驴子，驴
Azi-Pacifika Ekonomia Kunlaboro	亚太经合，亚洲太平洋经济合作组织，亚太经合组织
babilejo	聊天室
babili	聊天，聊，谈天儿，聊天儿，谈天，谈
bakforno	烤箱
bakisto	面包师傅
Bakko	巴克斯
bakterio	细菌
balailo	扫把
baldaŭ	不久
baleno	鲸鱼，鲸
balkono	阳台
balo	舞会
balzama abiarbo	香脂冷杉
balzama abio	香脂冷杉
bambuo	竹，竹子
bananarbo	蕉，香蕉树，芭蕉树
banĉambro	浴室
bandaĝo	绷带
bani sin	沐浴
banjano	榕，榕树
bankalsono	泳裤
banko	银行
bankuvo	浴缸
bano	沐浴
baobabarbo	猴面包树
baobabo	猴面包树
barakti	挣扎
barata parolo	印度话
barbo	胡，胡子
barilo	栅栏
bario	钡
basita sur	根据
bastono	拐杖
batalisto	战士
batalvenki	战胜
baza	基本
bazaro	市
bebo	小孩
bedaŭra	抱歉
bedaŭrinda	可惜，遗憾
bedaŭrinde	不幸地，遗憾地
begonifloro	秋海棠花，秋海棠
begonio	秋海棠花，秋海棠
bela	美，美丽
beladono	颠茄
beleta	漂亮
benko	板凳
berilio	铍
berkelio	锫
bestaĉo	怪物
besto	动物
betularbo	桦树，桦，白桦，白桦树
betulo	白桦，白桦树，桦，桦树
bezoni	需要，要，需
bibliotekisto	图书管理员
biblioteko	图书馆
bicepso	二头肌
biciklo	单车，自行车，脚踏车
bieno	农场
biero	啤酒
bildero	像素
bildkarto	明信片
bildo	图片
biliono	一万亿，兆，一兆，万亿
binara stelo	双星
biokemia procezo	生化过程
biologia ĉelo	细胞
birdo	鸟
bismuto	铋
blanka	白色，白
blanka libro	白皮书
blanka nano	白矮星
blanka sangoĉelo	白血球
blato	蟑螂，蟑
blogo	部落格，博客
bloketoj	积木
blua	蓝色，蓝
blua stelo	蓝星
boaco	驯鹿
boato	船
bobelo	气泡
bolpunkto	沸点
bombo	炸弹
bona	好
bongusta	好吃
bonŝanci	走运
bonŝanco	好运
bonvenigi	欢迎，迎接
bonvenigo	招呼，欢迎
bonvenon	欢迎！
bonvolu	请
borilo	钻孔机
boro	硼
borso	股票市场，证券交易所
botelkukurbo	葫，葫芦
botelo	瓶子
bovaĵo	牛肉
bovido	小牛
bovino	母牛
bovo	牛
brakhorloĝo	手表
brako	胳臂，胳膊，臂，手臂，臂
brakringo	手镯
brakseĝo	扶手椅
brakumi	拥抱
branĉo	树枝，枝
brando	白兰地
brazil-arbo	巴西红木
bremsoj	刹车
bretaro	柜橱
briketoj	积木
brila	明亮
Brita Imperio	大英帝国
Brita Regnaro	英联邦
bromo	溴
bronzo	青铜
brovo	眉，眉毛
brua	吵闹
brulavertilo	火警
bruliga	滚烫
brulligno	薪柴
bruna	咖啡色
brusto	脯，胸脯，胸
bubalo	水牛
budhano	佛教徒
budhismo	佛教
Budho	佛，佛陀
bufo	蟾蜍，蜍，蟾
buĝeto	预算
burĝono	花蕾，蕾，苞，花苞
buŝkavo	口腔
buŝo	嘴，嘴巴，口
buŝtuko	餐巾
butero	奶油
butikaro	商场
butiko	店铺
butikumi	买东西
butono	纽，纽扣，钮，电钮
ĉambro	房，房间
Ĉangĉuno	长春
Ĉangŝao	长沙
ĉapelo	冠，帽子
ĉapo	瓶盖
ĉar	因为，既然
ĉasi	追赶
ĉe	在
cedrarbo	香柏，雪松树，香柏树，雪松
cedro	香柏，雪松，香柏树，雪松树
ĉefa	主要，主
ĉefministro	总理
ĉefo	老板
ĉefpropozicio	主句
ĉefurbo	首都，京，都
ĉefverbo	主动词
cejanfloro	矢车菊，矢车菊花
cejano	矢车菊花，矢车菊
ĉeko	支票
ĉela dividiĝo	细胞分裂
ĉela histo	细胞组织，蜂窝组织
ĉeldividiĝo	细胞分裂
ĉelkerno	细胞核
celo	目标
ĉelo	细胞
cemento	水泥
ĉemizo	衬衫
Ĉengduo	成都
